Date, Open, High, Low, Close, Volume
02/24/21, 6150.00, 6150.00, 6150.00, 6150.00, 20
02/23/21, 6120.00, 6149.00, 6120.00, 6133.75, 400
02/22/21, 6120.06, 6120.06, 6120.06, 6120.06, 20
02/19/21, 6198.99, 6200.00, 6198.99, 6200.00, 160
02/18/21, 6200.00, 6200.00, 6121.55, 6121.55, 180
02/17/21, 6111.06, 6200.00, 6111.06, 6200.00, 340
02/16/21, 6300.00, 6300.00, 6200.00, 6209.93, 1020
02/15/21, 6220.00, 6249.99, 6200.00, 6201.00, 220
02/12/21, 6250.00, 6250.00, 6200.01, 6204.25, 240
02/11/21, 6300.00, 6300.00, 6220.00, 6220.00, 140
02/10/21, 6300.00, 6300.00, 6298.99, 6300.00, 280
02/09/21, 6410.00, 6410.00, 6294.99, 6298.33, 1500
02/08/21, 6500.00, 6500.00, 6400.04, 6440.83, 460
02/04/21, 6000.01, 6488.31, 6000.01, 6475.00, 220
02/03/21, 6475.00, 6494.90, 6465.00, 6472.00, 120
02/02/21, 6500.00, 6500.00, 6475.17, 6479.43, 300
02/01/21, 6500.00, 6500.00, 6475.00, 6475.17, 160
01/29/21, 6979.00, 6987.50, 6450.00, 6470.00, 360
01/27/21, 6519.45, 6520.00, 6500.00, 6500.00, 60
01/26/21, 6413.81, 6470.00, 6400.00, 6470.00, 220
01/25/21, 6502.00, 6523.99, 6400.00, 6420.00, 520
01/22/21, 6620.00, 6620.00, 6575.00, 6575.00, 80
01/20/21, 6600.00, 6600.00, 6600.00, 6600.00, 20
01/19/21, 6610.00, 6610.00, 6600.01, 6600.01, 40
01/18/21, 6879.99, 6879.99, 6455.01, 6455.01, 60
01/15/21, 6581.00, 6613.81, 6581.00, 6613.81, 40
01/14/21, 6700.00, 6700.00, 6605.00, 6630.63, 160
01/13/21, 6797.00, 6800.00, 6685.00, 6735.00, 580
01/12/21, 6683.00, 6683.00, 6631.50, 6660.40, 100
01/11/21, 6800.00, 6800.00, 6700.00, 6770.00, 640
01/08/21, 6800.00, 6838.00, 6702.11, 6807.09, 360
01/04/21, 6750.00, 6750.00, 6700.00, 6700.00, 80
01/01/21, 6670.00, 6674.99, 6503.11, 6627.50, 140
12/31/20, 6665.01, 6665.01, 6665.01, 6665.01, 20
12/30/20, 6699.00, 6845.00, 6699.00, 6845.00, 80
12/29/20, 6600.00, 6750.00, 6600.00, 6619.00, 100
12/24/20, 6650.00, 6650.00, 6600.00, 6600.00, 220
12/23/20, 6700.00, 6700.00, 6625.00, 6637.50, 140
12/22/20, 6800.00, 6800.00, 6700.00, 6700.00, 60
12/21/20, 6900.00, 6900.00, 6735.00, 6735.00, 60
12/17/20, 6890.00, 6900.00, 6890.00, 6900.00, 140
12/15/20, 6930.00, 6930.00, 6930.00, 6930.00, 60
12/14/20, 6819.48, 6700.00, 6700.00, 6819.48, 100
12/11/20, 6819.95, 6819.95, 6819.00, 6819.48, 40
12/10/20, 6800.00, 6800.00, 6725.00, 6725.00, 60
12/09/20, 6749.99, 6750.00, 6749.99, 6750.00, 100
12/08/20, 6510.01, 6635.00, 6510.01, 6600.00, 200
12/07/20, 6749.00, 6750.00, 6725.00, 6750.00, 60
12/04/20, 6650.00, 6650.00, 6550.10, 6585.05, 160
12/03/20, 6999.99, 6999.99, 6550.00, 6560.25, 220
12/02/20, 6549.00, 6550.00, 6549.00, 6550.00, 40
12/01/20, 6789.00, 6789.00, 6500.00, 6500.00, 380
11/30/20, 6589.99, 6589.99, 6589.99, 6589.99, 20
